Date,Closing Price,Opening Price,Highest Price,Lowest Price
11/04/2024,51,49.7,51.4,49.7
10/04/2024,50.8,51.7,51.7,50.7
09/04/2024,51.6,50,51.6,49.95
08/04/2024,49.7,49.75,50.8,49.3
05/04/2024,49.7,51.5,51.6,49.7
04/04/2024,52,52,52.8,51.7
03/04/2024,52.1,53.6,54.4,52.1
02/04/2024,53.6,53,53.6,52
01/04/2024,53.6,53.4,54.4,52.6
29/03/2024,53.8,53.8,54.5,53.4
28/03/2024,53.7,53.5,55,53
27/03/2024,52.8,53.5,53.5,52.4
26/03/2024,53.2,52,53.2,51.5
25/03/2024,52,53.7,54,51.9
22/03/2024,53.7,54,55,53.4
21/03/2024,54,54.3,55.2,53.2
20/03/2024,53.2,51,53.4,50.6
18/03/2024,51.7,53.4,54.1,49.95
15/03/2024,53.7,52.3,55,51.5
14/03/2024,52.2,52.1,53.8,51.4
13/03/2024,51.6,48.7,51.6,48.35
12/03/2024,48.3,48,48.55,47.6
11/03/2024,47.65,47.85,48.65,47.5
08/03/2024,47.85,49.7,49.7,47.85
07/03/2024,49.2,47.45,50.3,47.45
06/03/2024,47.2,47.9,49.1,47
05/03/2024,47.8,46.85,47.8,46.2
04/03/2024,46.85,47.5,47.5,46.7
01/03/2024,46.85,46.1,47.65,46
29/02/2024,45.6,45.5,46.35,45.25
28/02/2024,45.15,45.6,45.6,44.85
27/02/2024,45.45,45.2,46,45
26/02/2024,45.2,43.5,45.4,43.3
23/02/2024,43.55,44.3,44.85,43.55
22/02/2024,44.25,44.5,44.8,44.2
21/02/2024,44.8,45,45.05,44.4
19/02/2024,45,45,45.1,44.1
16/02/2024,45,45.2,45.45,44.8
15/02/2024,45.15,45.1,45.65,45
07/02/2024,45.1,45,45.45,44.75
06/02/2024,44.8,44.15,45.45,44.05
05/02/2024,43.9,44,44.2,43.6
02/02/2024,43.75,43.7,44.25,43.65
01/02/2024,43.25,43,43.25,42.8
31/01/2024,42.9,42.3,43.6,42.2
30/01/2024,42.05,42.05,42.25,41.7
29/01/2024,42.05,42.75,42.8,42
26/01/2024,42.5,42.55,42.9,42.5
25/01/2024,42.6,42.9,42.9,42.4
24/01/2024,42.75,42.45,43.2,42.4
23/01/2024,42.45,42.3,42.7,42.15
22/01/2024,42.3,42.6,42.6,41.7
19/01/2024,42.2,42.6,42.65,42
18/01/2024,42.1,42.25,42.75,42.05
17/01/2024,42,41.8,43.2,41.75
15/01/2024,41,42.25,42.35,41
12/01/2024,42,42,42.55,41.75
11/01/2024,42.35,41.95,42.6,41.8
10/01/2024,41.8,42.65,42.7,41.7
09/01/2024,42.7,43,43.2,42.5
08/01/2024,42.7,42.75,43.3,42.65
05/01/2024,42.5,42.6,42.7,42.15
04/01/2024,42.45,42.8,43.65,42.45
03/01/2024,42.7,42.2,42.7,41.8
02/01/2024,42.3,43,43,42.05
29/12/2023,42.75,42.8,42.9,42.5
28/12/2023,42.7,42.35,43,42
27/12/2023,42.05,42.3,42.7,42.05
26/12/2023,42,41.6,42.15,41.35
25/12/2023,41.25,41.1,41.6,40.6
22/12/2023,41,41.6,41.95,40.6
21/12/2023,41.4,41.35,41.5,41.05
20/12/2023,41.5,41.6,41.9,41.15
19/12/2023,41.35,40.95,41.4,40.5
15/12/2023,40.5,40.6,41.55,40.5
14/12/2023,40.5,41.25,41.5,40.5
13/12/2023,40.9,42.3,42.45,40.85
12/12/2023,41.95,42.6,42.6,41.8
11/12/2023,42.4,41.8,42.5,41.1
08/12/2023,41.8,42.5,42.7,41.5
07/12/2023,42.5,43.7,44,41.55
06/12/2023,44,43.65,44.1,43.35
05/12/2023,43.6,43.9,44,43.35
04/12/2023,43.9,43.3,44.75,43
